Anid;Al;Alternate ID;As;Ba;Ca;Ce;Co;Context;Country;Cr;Cs;Dy;Eu;Exterior Decoration;Fe;Hf;Interior Decoration;Investigator;K;La;Latitude (copie);Latitude;Longitude (copie);Longitude;Lu;Material;Mn;Na;Nd;Ni;Nombre d'enregistrements;Period category;Period (groupe) null or not;Period;Rb;Sb;Sc;Site Name;Sm;Source/Excavator/Museum;Sr;State/Province;Ta;Tb;Th;Ti;U;V;Vessel Form;Ware;Yb;Zn;Zr
CCP062;90289,9844;27-B-4;9,2751;592,3831;16706,7832;59,8225;12,5982;Sector 1, Unit 27;Peru;20,9413;8,3114;4,3183;1,0125;plain;39890,875;7,073;plain;Conlee, Christina;27253,5234;28,9409;-14,8072;-14.8072;-74,8978;-74.8978;0,434;pottery;643,2036;14697,7686;27,2359;0;1;early;Autre;Early Horizon;116,4502;1,1777;14,855;La Tiza;5,4863;Christina Conlee;231,3296;Ica Department;0,6695;0,6806;16,5848;4573,1108;2,8465;124,7737;Braided handle;Earthenware;2,4232;65,518;166,7449
CCP063;83282,875;29-C-2;9,6579;588,8845;19536,293;47,3308;11,7305;Sector 1, Unit 29;Peru;23,0194;5,5598;3,4796;0,9037;painted and incised;44051,1523;5,6291;plain;Conlee, Christina;25269,8086;24,1621;-14,8072;-14.8072;-74,8978;-74.8978;0,4094;pottery;486,844;16709,8945;20,268;0;1;early;Autre;Early Horizon;88,6393;1,4194;12,7241;La Tiza;4,4233;Christina Conlee;271,8132;Ica Department;0,7165;0,6016;12,687;3519,781;2,6668;135,3096;Unknown;Earthenware;2,4938;56,5462;158,7285
CCP064;94834,0703;31-C-1;8,5928;768,7948;16096,5322;55,8691;12,6011;Sector 1, Unit 31;Peru;20,9844;8,1341;4,5968;1,108;plain;40909,4531;7,4912;plain;Conlee, Christina;29346,5586;26,8942;-14,8072;-14.8072;-74,8978;-74.8978;0,4877;pottery;759,5446;15097,4766;26,6925;0;1;early;Autre;Early Horizon;108,315;1,2739;15,5309;La Tiza;5,7217;Christina Conlee;224,5775;Ica Department;0,6702;0,7527;17,3849;4075,7205;2,8554;125,7934;Bowl?;Earthenware;2,8289;60,8498;172,3766
CCP065;88211,6875;31-D-4R;9,1776;681,1204;18522,2441;54,3457;14,8137;Sector 1, Unit 31;Peru;22,3394;7,3364;3,7036;0,985;incised;41758,7188;6,7844;plain;Conlee, Christina;21282,668;24,8084;-14,8072;-14.8072;-74,8978;-74.8978;0,3771;pottery;888,6348;17069,5645;23,5993;0;1;early;Autre;Early Horizon;101,2901;1,2976;15,675;La Tiza;4,9221;Christina Conlee;223,8798;Ica Department;0,6832;0,6499;13,5768;4605,4097;2,5933;125,2945;Unknown;Earthenware;2,5193;66,6118;168,4612
CCP066;101762,1172;28-C-20;66,2066;635,5591;18327,7363;60,6371;14,4281;Sector II, Unit 28;Peru;22,8738;8,932;4,8167;1,5124;incised - feline eye;49045,332;5,9003;plain;Conlee, Christina;25682,1855;28,9325;-14,8072;-14.8072;-74,8978;-74.8978;0,4388;pottery;693,1409;12562,1572;33,5644;0;1;early;Autre;Early Horizon;100,7737;2,0378;19,8164;La Tiza;6,916;Christina Conlee;243,2176;Ica Department;0,6118;0,9247;11,4081;5583,8057;2,7394;155,5829;Bowl;Earthenware;2,6126;102,7617;187,2611
CCP067;85953,6563;28-C-97;7,3113;690,2903;17407,123;52,5439;11,1134;Sector II, Unit 28;Peru;23,3392;6,8285;3,6826;1,0738;incised;37838,332;7,3453;incised;Conlee, Christina;26323,5566;27,4862;-14,8072;-14.8072;-74,8978;-74.8978;0,4663;pottery;704,2925;16099,0879;25,0976;0;1;early;Autre;Early Horizon;105,7308;1,4512;14,0764;La Tiza;5,3253;Christina Conlee;239,2658;Ica Department;0,7011;0,6395;16,8602;4341,542;3,7069;117,4067;Bowl;Earthenware;3,0129;68,7023;211,5034
CCP068;85264,3125;28-B-11;7,7466;637,7548;18917,5371;49,0895;12,3157;Sector II, Unit 28;Peru;21,8685;6,177;3,5548;0,9782;incised, applique dot;39920,4102;6,7368;plain;Conlee, Christina;29611,3164;24,1238;-14,8072;-14.8072;-74,8978;-74.8978;0,4185;pottery;674,6906;16566,6719;20,4959;0;1;early;Autre;Early Horizon;103,9542;1,3204;14,6618;La Tiza;4,8443;Christina Conlee;256,1575;Ica Department;0,5835;0,631;14,9107;3785,5208;2,8518;109,2731;Unknown;Earthenware;2,4532;63,9669;176,612
CCP069;74823,6172;28-C-83;8,8327;411,0269;21653,9688;43,5414;10,2182;Sector II, Unit 28;Peru;21,0383;5,4834;3,2215;0,8272;slip, painted;51539,8398;4,3742;slip, painted;Conlee, Christina;23738,3418;22,002;-14,8072;-14.8072;-74,8978;-74.8978;0,3638;pottery;400,8609;15761,8916;19,7405;0;1;early;Autre;Late Early Horizon/Early EIP;79,3435;1,1641;11,9823;La Tiza;4,2144;Christina Conlee;232,8502;Ica Department;0,6641;0,5513;14,872;2870,1714;3,2695;131,241;Bowl;Earthenware;2,3797;69,5746;136,0878
CCP070;91744;28-C-129;10,8882;609,0771;16886,0527;50,197;12,9559;Sector II, Unit 28;Peru;22,6096;7,2673;4,0695;1,0885;plain, slipped?;41652,3047;5,9543;plain, slipped?;Conlee, Christina;29469,8691;27,7822;-14,8072;-14.8072;-74,8978;-74.8978;0,4311;pottery;696,8624;16761,6758;26,3787;0;1;early;Autre;Late Early Horizon/Early EIP;99,4842;1,964;15,418;La Tiza;5,4472;Christina Conlee;211,4933;Ica Department;0,6298;0,6988;14,888;3485,8484;2,6035;122,9664;Jar?;Earthenware;2,4472;73,6632;139,7207
CCP071;77351,4609;29-C-3;6,963;486,5801;17024,4805;44,0708;10,4139;Sector 1, Unit 29;Peru;17,5237;4,8978;3,1847;0,917;plain;39663,9023;4,7642;plain;Conlee, Christina;24145,043;20,8717;-14,8072;-14.8072;-74,8978;-74.8978;0,3502;pottery;853,3563;20207,8184;19,2804;0;1;early;Autre;Early Nasca;90,4333;1,4526;12,8183;La Tiza;4,3378;Christina Conlee;189,0021;Ica Department;0,6551;0,5092;16,0147;2295,7969;3,6024;121,9936;Unknown;Earthenware;2,1375;85,9098;130,1945
CCP072;90625,6875;31-C-3;5,8839;569,0193;15530,5371;54,1638;9,4414;Sector 1, Unit 31;Peru;20,4841;7,3144;4,0629;1,0616;painted;31539,3203;4,7607;plain;Conlee, Christina;22958,8535;26,4691;-14,8072;-14.8072;-74,8978;-74.8978;0,4113;pottery;853,8545;18715,2715;23,1676;0;1;early;Autre;Early Nasca;111,3929;1,7567;15,3138;La Tiza;5,3522;Christina Conlee;215,4169;Ica Department;0,7822;0,6217;16,1109;3807,572;4,0562;125,7422;Unknown;Earthenware;2,8307;107,0588;136,3529
CCP073;84713,3047;32-C-11;10,9538;512,2437;18323,3652;55,5555;12,5657;Sector IV, Unit 32;Peru;24,8493;6,9854;4,2731;0,9573;slipped, polished;41875,0195;5,0133;slipped, polished;Conlee, Christina;20617,2129;27,4269;-14,8072;-14.8072;-74,8978;-74.8978;0,3535;pottery;718,278;15953,9307;24,6049;0;1;early;Autre;Early Nasca;98,1388;1,3465;13,7815;La Tiza;4,8002;Christina Conlee;260,6849;Ica Department;0,7562;0,5871;13,7172;3482,3831;3,6257;133,4951;Bowl;Earthenware;2,508;67,8352;145,1103
CCP074;92606,7656;31-D-1;33,0058;409,0196;27462,6641;56,7796;16,4319;Sector I, Unit 31;Peru;31,0314;8,521;3,5406;1,0654;slipped, red painted rim band;44679,3633;4,4223;slipped, painted;Conlee, Christina;23934,5234;28,1001;-14,8072;-14.8072;-74,8978;-74.8978;0,3468;pottery;1214,6862;14951,8701;25,4793;0;1;early;Autre;Early Nasca;101,9083;2,1651;17,1092;La Tiza;5,089;Christina Conlee;271,1893;Ica Department;0,7412;0,5907;11,6138;3736,5364;2,6567;125,3247;Bowl;Earthenware;1,9971;172,4733;119,4378
CCP075;83969,5469;28-C-101;7,0938;661,597;27939,5176;45,6804;10,1828;Sector II, Unit 28;Peru;18,2598;6,3856;2,8221;0,9701;plain;38477,2266;5,4579;painted;Conlee, Christina;31548,3516;23,4272;-14,8072;-14.8072;-74,8978;-74.8978;0,3126;pottery;864,9082;19303,5039;21,2496;0;1;early;Autre;Early Nasca;131,8109;1,4858;13,2834;La Tiza;4,6461;Christina Conlee;245,8855;Ica Department;0,6351;0,5285;12,1026;3456,9355;3,7832;139,1;Bowl;Earthenware;2,2179;125,2863;156,66
CCP076;81976,9922;28-C-92;11,5829;531,6691;20622,5059;48,7882;11,5649;Sector II, Unit 28;Peru;18,1971;6,075;3,1937;0,923;slipped;44969,9336;4,3495;painted;Conlee, Christina;21491,291;23,1124;-14,8072;-14.8072;-74,8978;-74.8978;0,3866;pottery;753,7103;18807,4648;17,5262;0;1;early;Autre;Early Nasca;77,8454;1,4493;12,8634;La Tiza;4,4888;Christina Conlee;236,583;Ica Department;0,6473;0,5779;12,2569;2599,2388;3,6408;119,4801;Bowl;Earthenware;2,3402;86,5051;117,7161
CCP077;85684,9766;28-A-4;6,3216;510,6147;24470,3047;58,5277;17,3677;Sector II, Unit 28;Peru;28,2636;9,5407;3,3986;0,9995;slipped and painted (polychrome);43524,8984;4,9054;slipped;Conlee, Christina;24438,3574;26,7866;-14,8072;-14.8072;-74,8978;-74.8978;0,3432;pottery;1349,4041;16429,2891;22,8676;0;1;early;Autre;Early Nasca (N3);100,3696;1,3148;16,2863;La Tiza;5,0456;Christina Conlee;326,6091;Ica Department;0,7398;0,5917;16,4054;3620,7063;3,6754;118,0158;Vase;Earthenware;2,4048;99,5624;120,4564
CCP078;88017,8906;28-C-103;7,3606;460,8738;16329,1299;45,5579;7,9199;Sector II, Unit 28;Peru;20,0247;7,5136;3,1608;0,818;slipped;32117,5977;4,6992;slipped, painted rim;Conlee, Christina;26771,4805;21,9853;-14,8072;-14.8072;-74,8978;-74.8978;0,3585;pottery;572,8529;18950,3887;20,6376;0;1;early;Autre;Early Nasca;91,2756;1,4503;13,8223;La Tiza;4,3877;Christina Conlee;177,9229;Ica Department;0,7053;0,5583;13,9698;3018,5842;3,8935;131,7707;Bowl;Earthenware;2,3383;86,4887;133,4696
